# Time; Light sensor; Coil current; Pressure sensor; LFS power; HFS power in SI units
1.999999999999999909e-06;1.760522365570068359e+00;1.054490966796875000e+02;1.745126892649869615e-02;0.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000030e-05;1.765118598937988281e+00;3.957704467773437500e+02;1.811433137886272679e-02;0.000000000000000000e+00;0.000000000000000000e+00
2.199999999999999943e-05;1.766759872436523438e+00;6.121700439453125000e+02;1.738105224758235492e-02;0.000000000000000000e+00;0.000000000000000000e+00
3.199999999999999855e-05;1.763805389404296875e+00;7.632991333007812500e+02;1.715480589064533740e-02;0.000000000000000000e+00;0.000000000000000000e+00
4.199999999999999768e-05;1.764133453369140625e+00;8.739082031250000000e+02;1.729369122185632490e-02;0.000000000000000000e+00;0.000000000000000000e+00
5.199999999999999680e-05;1.765446662902832031e+00;9.512250976562500000e+02;1.725886482905559377e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.200000000000000270e-05;1.768401145935058594e+00;1.005434448242187500e+03;1.798696273428274789e-02;2.000006103515625000e+02;0.000000000000000000e+00
7.200000000000000182e-05;1.765775203704833984e+00;1.043873779296875000e+03;1.739859262156976880e-02;2.000006103515625000e+02;0.000000000000000000e+00
8.200000000000000095e-05;5.081393718719482422e+00;1.070266723632812500e+03;1.815088400420461837e-02;2.000006103515625000e+02;0.000000000000000000e+00
9.200000000000000007e-05;5.073514938354492188e+00;1.088665039062500000e+03;1.720676929203241584e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.019999999999999992e-04;5.069247245788574219e+00;1.100492431640625000e+03;1.601851560597032653e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.119999999999999983e-04;5.066292762756347656e+00;1.108267944335937500e+03;1.732858789028917518e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.219999999999999974e-04;5.065636157989501953e+00;1.112977050781250000e+03;1.748648356851166541e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.319999999999999830e-04;5.069575786590576172e+00;1.115495849609375000e+03;1.755712617314895280e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.419999999999999821e-04;5.071545600891113281e+00;1.116262451171875000e+03;1.622975222580831656e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.519999999999999813e-04;5.075812816619873047e+00;1.116152954101562500e+03;1.759255442284059570e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.619999999999999804e-04;5.074171543121337891e+00;1.115386474609375000e+03;1.777074489709224228e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.719999999999999795e-04;5.074500083923339844e+00;1.114072143554687500e+03;1.732858789028917518e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.819999999999999786e-04;5.073843479156494141e+00;1.112319946289062500e+03;1.743367544694643737e-02;2.000006103515625000e+02;0.000000000000000000e+00
1.920000000000000049e-04;5.057757854461669922e+00;1.110458129882812500e+03;1.720676929203241584e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.020000000000000040e-04;5.074171543121337891e+00;1.108486938476562500e+03;1.725886482905559377e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.120000000000000031e-04;5.081722259521484375e+00;1.106515747070312500e+03;1.722410857036445891e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.220000000000000022e-04;5.073514938354492188e+00;1.103996948242187500e+03;1.587387506827658834e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.320000000000000014e-04;5.071873664855957031e+00;1.101916137695312500e+03;1.662711613244477818e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.420000000000000005e-04;5.066949367523193359e+00;1.099616455078125000e+03;1.551012636368149546e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.519999999999999996e-04;5.076469421386718750e+00;1.097645141601562500e+03;1.634467777346234468e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.619999999999999716e-04;5.077454566955566406e+00;1.095673950195312500e+03;1.688039713950657134e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.719999999999999979e-04;5.076469421386718750e+00;1.093593139648437500e+03;1.601851560597032653e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.819999999999999699e-04;5.061697006225585938e+00;1.091402832031250000e+03;1.489728571630591011e-02;2.000006103515625000e+02;0.000000000000000000e+00
2.919999999999999961e-04;5.059070587158203125e+00;1.089431640625000000e+03;1.592193510978038434e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.019999999999999681e-04;5.069903850555419922e+00;1.087460327148437500e+03;1.557278480042728445e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.119999999999999944e-04;5.072858333587646484e+00;1.085379516601562500e+03;1.574639225571930826e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.219999999999999664e-04;5.065308094024658203e+00;1.083517700195312500e+03;1.652689039324641007e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.319999999999999926e-04;5.077126026153564453e+00;1.081437133789062500e+03;1.529282295483377387e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.419999999999999646e-04;5.080080509185791016e+00;1.079794311523437500e+03;1.598625718817961797e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.519999999999999908e-04;5.077782630920410156e+00;1.078042114257812500e+03;1.512421620134357138e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.619999999999999629e-04;5.079423904418945312e+00;1.075961303710937500e+03;1.527740551045850617e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.719999999999999891e-04;5.082706928253173828e+00;1.074428222656250000e+03;1.443903832210083338e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.819999999999999611e-04;5.074500083923339844e+00;1.072566406250000000e+03;1.350982012361645612e-02;2.000006103515625000e+02;0.000000000000000000e+00
3.919999999999999873e-04;5.080737113952636719e+00;1.070814208984375000e+03;1.393857720076546736e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.019999999999999594e-04;5.081722259521484375e+00;1.068952392578125000e+03;1.432309962651617460e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.119999999999999856e-04;5.076141357421875000e+00;1.067200195312500000e+03;1.364667760663763538e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.219999999999999576e-04;5.078111171722412109e+00;1.065229003906250000e+03;1.386851881856425439e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.319999999999999838e-04;5.078111171722412109e+00;1.063805297851562500e+03;1.329371666596949018e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.419999999999999559e-04;5.077454566955566406e+00;1.062053100585937500e+03;1.340134261370376154e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.519999999999999821e-04;5.077782630920410156e+00;1.060410400390625000e+03;1.291079582439296283e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.619999999999999541e-04;5.076141357421875000e+00;1.058658203125000000e+03;1.203132240128640396e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.719999999999999803e-04;5.077782630920410156e+00;1.056906005859375000e+03;1.288479579692733412e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.819999999999999524e-04;5.082050323486328125e+00;1.055263183593750000e+03;1.282003395391253034e-02;2.000006103515625000e+02;0.000000000000000000e+00
4.919999999999999244e-04;5.078439235687255859e+00;1.053620483398437500e+03;1.256420694283994638e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.019999999999999506e-04;5.080080509185791016e+00;1.051868286132812500e+03;1.201921063091717506e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.119999999999999768e-04;5.077126026153564453e+00;1.050444580078125000e+03;1.247588156470323499e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.220000000000000031e-04;5.074828147888183594e+00;1.048801879882812500e+03;1.170834288620591947e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.320000000000000293e-04;5.077454566955566406e+00;1.047049682617187500e+03;1.211651817610367131e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.419999999999999471e-04;5.082706928253173828e+00;1.045187988281250000e+03;1.170834288620591947e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.519999999999999733e-04;5.070888996124267578e+00;1.043764282226562500e+03;1.265315763730257871e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.619999999999999996e-04;5.077126026153564453e+00;1.042121582031250000e+03;1.159094121375628915e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.720000000000000258e-04;5.076141357421875000e+00;1.040369384765625000e+03;1.215320237349847010e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.819999999999999436e-04;5.080409049987792969e+00;1.038945678710937500e+03;1.129115033190482287e-02;2.000006103515625000e+02;0.000000000000000000e+00
5.919999999999999698e-04;5.080080509185791016e+00;1.037193481445312500e+03;1.085593962729038305e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.019999999999999961e-04;5.079095840454101562e+00;1.035550781250000000e+03;1.118919593766751729e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.120000000000000223e-04;5.076141357421875000e+00;1.034127075195312500e+03;1.121177444075617362e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.219999999999999401e-04;5.074500083923339844e+00;1.032265258789062500e+03;1.118919593766751729e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.319999999999999663e-04;5.066621303558349609e+00;1.031060668945312500e+03;1.105469275437399868e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.419999999999999925e-04;5.074828147888183594e+00;1.029417968750000000e+03;1.087784565769422084e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.520000000000000188e-04;5.080080509185791016e+00;1.027775268554687500e+03;9.914579792850606102e-03;2.000006103515625000e+02;0.000000000000000000e+00
6.619999999999999366e-04;5.080409049987792969e+00;1.026132568359375000e+03;1.068228771571806505e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.719999999999999628e-04;5.077782630920410156e+00;1.024708862304687500e+03;1.077962323287154009e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.819999999999999890e-04;5.074828147888183594e+00;1.022847229003906250e+03;1.063930661389757976e-02;2.000006103515625000e+02;0.000000000000000000e+00
6.920000000000000153e-04;5.071545600891113281e+00;1.021423522949218750e+03;1.051141354494274788e-02;2.000006103515625000e+02;0.000000000000000000e+00
7.019999999999999331e-04;5.065636157989501953e+00;1.019780761718750000e+03;1.050083184636749732e-02;2.000006103515625000e+02;0.000000000000000000e+00
7.119999999999999593e-04;5.067605972290039062e+00;1.018247619628906250e+03;1.042699656692709122e-02;2.000006103515625000e+02;0.000000000000000000e+00
7.219999999999999855e-04;5.065964698791503906e+00;1.016714294433593750e+03;1.010625733313836802e-02;2.000006103515625000e+02;0.000000000000000000e+00
7.320000000000000118e-04;5.083034992218017578e+00;1.015071716308593750e+03;1.012665059139233013e-02;2.000006103515625000e+02;0.000000000000000000e+00
7.419999999999999296e-04;5.065308094024658203e+00;1.013757446289062500e+03;9.904584419013356261e-03;2.000006103515625000e+02;0.000000000000000000e+00
